"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	4937
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	4497
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	4809
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	4383
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	4763
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	4823
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	5053
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	5539
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	5211
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	5061
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	4969
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	4896
	"Alaska"	"02"	"2017"	"2017"	"January"	"1"	796
	"Alaska"	"02"	"2017"	"2017"	"February"	"2"	783
	"Alaska"	"02"	"2017"	"2017"	"March"	"3"	906
	"Alaska"	"02"	"2017"	"2017"	"April"	"4"	867
	"Alaska"	"02"	"2017"	"2017"	"May"	"5"	895
	"Alaska"	"02"	"2017"	"2017"	"June"	"6"	896
	"Alaska"	"02"	"2017"	"2017"	"July"	"7"	911
	"Alaska"	"02"	"2017"	"2017"	"August"	"8"	929
	"Alaska"	"02"	"2017"	"2017"	"September"	"9"	934
	"Alaska"	"02"	"2017"	"2017"	"October"	"10"	864
	"Alaska"	"02"	"2017"	"2017"	"November"	"11"	806
	"Alaska"	"02"	"2017"	"2017"	"December"	"12"	858
	"Arizona"	"04"	"2017"	"2017"	"January"	"1"	6958
	"Arizona"	"04"	"2017"	"2017"	"February"	"2"	6168
	"Arizona"	"04"	"2017"	"2017"	"March"	"3"	6797
	"Arizona"	"04"	"2017"	"2017"	"April"	"4"	6308
	"Arizona"	"04"	"2017"	"2017"	"May"	"5"	6523
	"Arizona"	"04"	"2017"	"2017"	"June"	"6"	6625
	"Arizona"	"04"	"2017"	"2017"	"July"	"7"	6980
	"Arizona"	"04"	"2017"	"2017"	"August"	"8"	7425
	"Arizona"	"04"	"2017"	"2017"	"September"	"9"	7219
	"Arizona"	"04"	"2017"	"2017"	"October"	"10"	7319
	"Arizona"	"04"	"2017"	"2017"	"November"	"11"	6798
	"Arizona"	"04"	"2017"	"2017"	"December"	"12"	6752
	"Arkansas"	"05"	"2017"	"2017"	"January"	"1"	3158
	"Arkansas"	"05"	"2017"	"2017"	"February"	"2"	2792
	"Arkansas"	"05"	"2017"	"2017"	"March"	"3"	3053
	"Arkansas"	"05"	"2017"	"2017"	"April"	"4"	2783
	"Arkansas"	"05"	"2017"	"2017"	"May"	"5"	3027
	"Arkansas"	"05"	"2017"	"2017"	"June"	"6"	3087
	"Arkansas"	"05"	"2017"	"2017"	"July"	"7"	3323
	"Arkansas"	"05"	"2017"	"2017"	"August"	"8"	3614
	"Arkansas"	"05"	"2017"	"2017"	"September"	"9"	3285
	"Arkansas"	"05"	"2017"	"2017"	"October"	"10"	3124
	"Arkansas"	"05"	"2017"	"2017"	"November"	"11"	3170
	"Arkansas"	"05"	"2017"	"2017"	"December"	"12"	3104
	"California"	"06"	"2017"	"2017"	"January"	"1"	39362
	"California"	"06"	"2017"	"2017"	"February"	"2"	36002
	"California"	"06"	"2017"	"2017"	"March"	"3"	39133
	"California"	"06"	"2017"	"2017"	"April"	"4"	36974
	"California"	"06"	"2017"	"2017"	"May"	"5"	39400
	"California"	"06"	"2017"	"2017"	"June"	"6"	38955
	"California"	"06"	"2017"	"2017"	"July"	"7"	40475
	"California"	"06"	"2017"	"2017"	"August"	"8"	42231
	"California"	"06"	"2017"	"2017"	"September"	"9"	41475
	"California"	"06"	"2017"	"2017"	"October"	"10"	40410
	"California"	"06"	"2017"	"2017"	"November"	"11"	38814
	"California"	"06"	"2017"	"2017"	"December"	"12"	38427
	"Colorado"	"08"	"2017"	"2017"	"January"	"1"	4990
	"Colorado"	"08"	"2017"	"2017"	"February"	"2"	4623
	"Colorado"	"08"	"2017"	"2017"	"March"	"3"	5464
	"Colorado"	"08"	"2017"	"2017"	"April"	"4"	5159
	"Colorado"	"08"	"2017"	"2017"	"May"	"5"	5526
