date,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Georgia,Hawaii,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Mexico,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Washington,West Virginia,Wisconsin
2010-10-16,1.6786569969065686,1.8657206706122935,1.6526432022245778,1.6317999533849872,1.6810483795991056,1.6394812958275342,1.715851686766255,1.6644180222489946,2.344557347755102,1.681751996330995,1.7630159966760954,1.700886130607082,1.6651147156420874,1.8790816807651889,1.6694797895209534,1.636057653894723,1.7694801110736256,1.499463509137329,1.6268355602193294,1.6729983222292981,1.685123877980359,1.6714819764488136,1.6900326931191516,1.726729949699106,1.6402994878191763,1.69421388013628,1.6311621039791937,1.6799032276154768,1.7120803982958326,2.9984268480227665,2.010610757157149,1.6739100391879513,1.6663640219581997,1.66472541126659,1.6678177815286723,1.6579586363295622,1.6422666577789407
2010-10-23,1.7073745420799542,2.228473516423668,1.7615241081670272,1.6777342435402867,1.7845485009730884,1.7270442386080211,1.879917140295831,1.476029658441676,-2.436978020231064,1.7921683256548495,2.0795679388974384,1.9117483144239205,1.7591357588075944,2.0715766596789136,1.7801394631650431,1.702540107606173,1.9769452628026472,1.3765606420435466,1.6879878153750003,1.777095771605332,1.8184999001619704,1.7524554896980549,1.8110223644114436,1.8795563956618704,1.7059836062640914,1.8326703673173461,1.6775731341581508,1.8116992815469053,1.8733610871264497,-2.4116250149480116,2.5022266855832926,1.7463292241224886,1.7833376703259738,1.7787194463739813,1.73879621961623,1.7641370636510614,1.7221578668322308
2010-10-30,1.62434942311503,2.4423226071963398,1.7994539612976994,1.6914724796032672,1.8340612780974335,1.7540925509264629,1.9518194550590608,0.6903943818886613,-2.220554778639511,1.8327673452243018,2.1891314377314446,1.9713010590941018,1.7839947054062917,2.1933386735148495,1.8180424542290003,1.725593569909923,2.0687229862630883,1.2793366048212653,1.7122362270762848,1.8224878023183047,1.8619984059308448,1.7801562206820878,1.8571689286798936,1.93349268567504,1.732598991219208,1.9105876282338554,1.7014136778550524,1.8509041694707713,1.930294423595386,-2.3898366067986885,2.7271865138639626,1.7819411446597653,1.83236864320036,1.830582626066243,1.776427604016927,1.7976705562806272,1.749934959592708
2010-11-06,1.4053785644711905,3.0958568813818967,1.941102239957866,1.7274858341633137,1.9532437397067983,1.8583364956230533,2.1623995117667576,-0.22127615252214017,-1.893008966392496,1.9476542278309787,2.760964416094506,2.3114461594314575,1.8759240334415714,2.460953282908749,1.9444107990499904,1.7948882622631412,2.3105383600252623,1.109832732527551,1.782260365716798,1.9414606160163934,2.0266220700475333,1.8540283563492632,1.9887182300651243,2.106971960016449,1.8008717609562932,2.1061457743266896,1.7479699359240208,2.0105127331097528,2.134091178513657,-2.2234040384797957,-3.0418436839639535,1.8510037738943275,1.988468927076168,1.9783882985439893,1.8466305376354468,1.9188269397714084,1.8390379450176961
2010-11-13,1.0208060673792916,-2.726112289956316,1.981235342519942,1.7303687051252836,2.0160319709622083,1.8857851027544568,2.2665419293095423,-0.19885317233765482,-1.7205878141287572,1.9905641389594815,3.041902198579413,2.4166418594606824,1.8852636953539117,2.7335407604633906,1.987180435824333,1.8193835808601324,2.438276073204986,1.0331591328136256,1.8084026640933704,1.9965976024997636,2.077650211868961,1.8740771733703416,2.0424063816388203,2.1721923005799093,1.828237687492319,2.2284784319053967,1.7718824491059435,2.050046281338278,2.2092122806580696,-2.1539842353952414,-2.739697967365605,1.8821218371910287,2.058060668281839,2.0460577033254292,1.8852136183920538,1.9560292857019044,1.8678509617100765
2010-11-20,0.47058946863554457,-2.1159136033358292,2.1751445260043756,1.748684130879776,2.1628636212468084,2.009464210057344,2.5642778064456206,-0.21684438046299337,-1.5435883582295307,2.112963192610944,-2.4346932040260936,3.0380354047499596,1.9638327185348512,-2.6186411924123463,2.1378874991631123,1.8935666647654852,2.7304710866189223,0.9217400390401043,1.8871562827078183,2.1381716081602895,2.3077276483963676,1.9382705818853712,2.192841372417598,2.407919775888919,1.8986744427457696,2.543852153784545,1.817148952168951,2.260046940655533,2.5199400711817814,-2.030817492585799,-2.320358714983524,1.9416014053662507,2.28409323468963,2.246726391759535,1.9543019632233982,2.0957687863631227,1.9670523572887317
2010-11-27,0.3117613235682173,-1.7675892568282094,2.1966597739856786,1.7275684860250433,2.2374252079082035,2.0276881869954355,2.726685303572308,-0.08669032207101582,-1.377122978610005,2.1491599357942124,-2.0386491086199663,-2.9729859070451177,1.9210281551767028,-1.4831692812045492,2.1804421407720795,1.9158519515020205,2.901270963175889,0.9133413640520558,1.9068974608049467,2.19832912278083,2.368519064474825,1.9348833091413673,2.2491596536852927,2.4942507888184853,1.9192339916459666,2.7730960911030347,1.8349430303971233,2.2884676386247156,2.650412247922822,-1.9307504235809432,-2.027826046272761,1.9464210367874941,2.385840195213805,2.3315017870498336,1.9861928065017307,2.1289270872369803,1.9881660193904127
2010-12-04,0.1831587882495085,-1.4805491332256038,2.5243502008738354,1.7098499737926658,2.425875312905623,2.1700611911997214,-3.1124741065605077,-0.003172191653842443,-1.2288514959162553,2.273808135005619,-1.6331475295894617,-2.2164981940676776,1.9221615922365414,-0.9792741625366461,2.3630775186108623,1.9930544375198822,-3.0502250857351387,0.8806675317359278,1.9873765041929345,2.3678307118514175,2.7723080055323353,1.968929306691215,2.422227394272107,2.9788141992342827,1.9845796212177669,-2.8984089324761904,1.8730867875402974,2.60966860768628,-2.944918633515638,-1.807268952531611,-1.7292630301172076,1.9639789050847916,2.7533789201719494,2.6359892232491977,2.047880725238599,2.285619388667503,2.091933600679315
2010-12-11,0.2284649926031705,-1.2430613402710349,2.4588972844798054,1.6511543713019274,2.5179844849580437,2.1650169881857644,-2.8184194469042736,0.14053767845979173,-1.063265065925393,2.2914617536607946,-1.343881416804676,-1.8412514254037815,1.7226651040232006,-0.6767723871221065,2.4028033537432547,2.0100730871590216,-2.833057376180394,0.9177005313729459,1.9875887303221151,2.4300986348288935,2.938561354178679,1.912407380866323,2.478008445068655,-2.7538735581184453,1.9887818185794195,-2.352487774383939,1.878904363757783,2.624736952910477,-2.3115130282391574,-1.6859364653282927,-1.4732552489207642,1.8887328224676176,2.959538608339202,2.780419253151565,2.066114061793093,2.303819868273751,2.092897800534537
2010-12-18,0.25002566892204525,-1.052990348131941,-1.2947704411589667,1.579066301285029,2.7965436911774493,2.326119560572222,-2.2672175458250408,0.25264253323502767,-0.9228764840551305,2.4085593741672113,-1.1256930016891749,-1.4816416929388254,1.384130002048029,-0.4853562315456637,2.6380761720566688,2.0877853299455644,-2.4994186028638654,0.931723241683311,2.0542008383815316,2.644201611075348,-2.2555563199533446,1.865064201368006,2.684542005781105,-1.2409361506396759,2.03740255016856,-1.6907937560780386,1.9038500322318443,-2.778069438341152,-1.430555418984411,-1.5548213414813645,-1.2419501509592517,1.7660297834943393,-2.644695104732479,-2.8470535249037625,2.113897430179257,2.474944635922077,2.1901112731087706
